product_id,ASIN,product_name,category,subcategory,brand,base_price,prime_price,rating,review_count,stock_level,prime_eligible,amazon_choice,best_seller,fulfilled_by_amazon,streaming_quality,included_with_prime,warranty_months,alexa_compatible,perishable,whole_foods_product
B55491632,A80615013,Amazon Basics Model H536,Prime Video,Kids,Amazon Basics,3.11,3.11,3.5,5905,13,True,False,False,True,4K,True,,,,
B21428224,A13937913,Amazon Basics Quickly K983,Books & Kindle,Kindle eBooks,Amazon Basics,57.83,57.83,4.9,7202,675,False,False,False,True,,,,,,
B16028481,A69037414,Amazon Basics Believe R552,Home & Kitchen,Bedding,Amazon Basics,320.27,320.27,4.1,2043,477,False,False,False,False,,,,,,
B96251569,A50186063,Holmes Always R930,Home & Kitchen,Bedding,Holmes,33.92,33.92,4.2,9156,449,True,True,False,False,,,,,,
B17250109,A75063259,Amazon Basics Vote L854,Electronics,Phones & Accessories,Amazon Basics,978.2,978.2,3.7,7160,553,True,False,False,False,,,24.0,True,,
B79386456,A92852201,Amazon Essentials Resource Q643,Books & Kindle,Prime Reading,Amazon Essentials,70.92,70.92,3.7,9596,992,True,False,False,True,,,,,,
B25967665,A32449806,Amazon Basics Instead L247,Fashion,Amazon Fashion,Amazon Basics,289.98,289.98,4.3,5291,782,False,False,False,True,,,,,,
B71748886,A11410331,Mathis Listen V658,Books & Kindle,Kindle eBooks,Mathis,44.76,44.76,3.6,987,489,True,False,False,False,,,,,,
B35103717,A89168542,Vasquez Face R323,Prime Video,Prime Originals,Vasquez,16.58,16.58,4.2,3986,434,False,False,False,True,HD,True,,,,
B98261122,A45897894,Stanley Dark P184,Amazon Fresh,Meat & Seafood,Stanley,69.33,69.33,3.7,1874,60,True,False,False,True,,,,,True,True
B38546491,A14562686,Amazon Basics Discussion R105,Home & Kitchen,Smart Home,Amazon Basics,711.58,640.42,3.6,5572,631,True,False,False,True,,,,,,
B70610960,A66592011,Amazon Essentials Again Y427,Prime Video,Prime Originals,Amazon Essentials,20.21,20.21,4.9,305,417,True,False,False,True,HD,True,,,,
B78533498,A80582317,Amazon Essentials Name Y909,Fashion,Shoes,Amazon Essentials,489.72,489.72,4.6,2200,385,False,False,False,False,,,,,,
B87451504,A73321276,Amazon Essentials Law K467,Home & Kitchen,Storage,Amazon Essentials,653.78,653.78,3.7,3673,640,True,True,False,True,,,,,,
B42858184,A92497454,"Walsh, Serve O742",Amazon Basics,Fitness,"Walsh,",99.24,89.32,4.8,7890,280,True,False,False,True,,,,,,
B21638954,A13129766,Amazon Basics Especially H472,Amazon Basics,Office Products,Amazon Basics,113.44,113.44,4.6,3423,822,False,False,False,True,,,,,,
B68810260,A12638633,Oconnor-Johnson Local N273,Fashion,Luxury Stores,Oconnor-Johnson,246.59,221.93,4.7,5398,866,True,False,False,True,,,,,,
B81513850,A26734709,Amazon Basics Discuss G216,Books & Kindle,Audiobooks,Amazon Basics,28.96,26.06,4.2,7568,512,True,False,False,True,,,,,,
B74283478,A62775114,Amazon Essentials Detail S777,Books & Kindle,Prime Reading,Amazon Essentials,39.64,39.64,3.9,4673,296,True,False,True,True,,,,,,
B67628204,A74911718,Walton-Bentley Plant F888,Electronics,Phones & Accessories,Walton-Bentley,1958.05,1762.24,4.2,5853,677,True,False,False,False,,,36.0,False,,
B43991881,A82077657,Amazon Basics Hard Q821,Amazon Fresh,Pantry,Amazon Basics,26.93,26.93,3.6,3834,558,True,False,False,True,,,,,True,True
B31823437,A66895607,Amazon Essentials Television S616,Home & Kitchen,Smart Home,Amazon Essentials,121.42,121.42,5.0,3955,109,False,False,False,False,,,,,,
B45130201,A28852280,Kerr-Brown Your S195,Electronics,Computers,Kerr-Brown,149.56,149.56,4.2,5746,76,True,False,False,False,,,24.0,False,,
B38123208,A79365070,Amazon Essentials Example O746,Amazon Fresh,Whole Foods,Amazon Essentials,19.03,19.03,3.7,5448,94,False,False,False,False,,,,,False,True
B79171503,A31959951,Amazon Essentials Glass X626,Electronics,Gaming,Amazon Essentials,1265.46,1265.46,4.8,6319,530,True,False,False,True,,,24.0,False,,
B24145240,A69874475,Amazon Basics President S126,Electronics,Smart Home,Amazon Basics,100.38,100.38,4.1,7970,70,False,False,False,True,,,24.0,True,,
B38668189,A22787498,"Delgado, Writer Z828",Electronics,Gaming,"Delgado,",1376.07,1376.07,4.9,2939,399,True,False,False,False,,,24.0,False,,
B43909950,A92011611,Amazon Essentials People R503,Fashion,Luxury Stores,Amazon Essentials,367.31,330.58,3.9,6951,406,True,False,False,True,,,,,,
B39093387,A83984229,Amazon Essentials Hundred W504,Electronics,Smart Home,Amazon Essentials,313.35,313.35,4.3,368,412,True,False,False,True,,,24.0,False,,
B29017488,A63393300,"Bradley, Significant O329",Home & Kitchen,Storage,"Bradley,",50.26,45.23,3.7,9774,86,False,False,True,False,,,,,,
B23001380,A77955465,Amazon Essentials Process G717,Fashion,Jewelry,Amazon Essentials,60.75,54.68,3.6,7287,666,True,True,False,True,,,,,,
B35767955,A76565264,"Rodriguez, Claim U778",Amazon Fresh,Pantry,"Rodriguez,",55.43,55.43,5.0,5785,691,False,False,False,True,,,,,True,False
B17605624,A61194983,Amazon Essentials Guy D691,Books & Kindle,Audiobooks,Amazon Essentials,59.48,59.48,3.9,87,901,True,False,False,False,,,,,,
B43505146,A69980820,Amazon Essentials Baby I258,Amazon Fresh,Fresh Produce,Amazon Essentials,199.26,179.33,4.2,1325,775,True,False,False,False,,,,,True,False
B61131040,A46513404,"Medina, Minute C187",Books & Kindle,Paperbacks,"Medina,",73.28,73.28,4.9,6588,851,True,False,False,True,,,,,,
B40075190,A57010639,Huerta Trouble M876,Prime Video,Kids,Huerta,5.39,4.85,4.9,906,375,False,False,False,False,HD,True,,,,
B43829228,A99768782,Amazon Basics Miss Q503,Electronics,Gaming,Amazon Basics,610.11,610.11,3.6,882,973,True,False,False,True,,,12.0,False,,
B57252507,A98485757,"Fletcher, Just V247",Books & Kindle,Textbooks,"Fletcher,",31.16,31.16,4.4,1613,371,True,False,False,True,,,,,,
B20714671,A47000806,"Miller, Bit L541",Home & Kitchen,Kitchen & Dining,"Miller,",931.21,931.21,3.8,4200,929,True,False,False,True,,,,,,
B31431993,A30201291,Charles-Santiago School K202,Fashion,Amazon Fashion,Charles-Santiago,338.57,338.57,4.1,7458,784,True,False,False,False,,,,,,
B23994094,A70960968,Amazon Essentials Single R905,Electronics,Smart Home,Amazon Essentials,298.86,268.97,4.4,248,125,True,False,False,False,,,24.0,True,,
B33901056,A23616203,Alexander-Romero Modern C140,Amazon Basics,Office Products,Alexander-Romero,8.37,8.37,4.9,2686,346,True,False,False,False,,,,,,
B30258076,A89337384,Amazon Essentials From D979,Amazon Basics,Pet Supplies,Amazon Essentials,53.62,53.62,4.3,8418,985,True,False,False,False,,,,,,
B86125811,A91924376,Amazon Basics Budget D774,Books & Kindle,Audiobooks,Amazon Basics,84.14,75.73,4.0,9789,58,False,False,False,False,,,,,,
B19058108,A58080707,"Mayer, Conference V869",Amazon Basics,Office Products,"Mayer,",133.81,133.81,3.8,4860,49,True,False,False,False,,,,,,
B70969818,A90884845,Amazon Essentials Leave U216,Electronics,Amazon Devices,Amazon Essentials,1361.69,1225.52,4.1,238,758,True,False,False,True,,,36.0,False,,
B37553083,A66045983,"Brady, Few J312",Electronics,Computers,"Brady,",1486.48,1337.83,4.3,2656,690,True,False,False,True,,,36.0,False,,
B93558180,A27647106,"Mcmahon, Per K878",Amazon Basics,Home Essentials,"Mcmahon,",36.98,33.28,4.8,8463,350,True,False,False,True,,,,,,
B97240099,A92245553,Amazon Essentials Environmental E893,Amazon Basics,Electronics,Amazon Essentials,80.51,72.46,4.3,5995,901,False,False,False,True,,,,,,
B95968442,A16756366,"Carey, How Q765",Amazon Fresh,Pantry,"Carey,",194.03,174.63,4.1,227,11,True,False,False,True,,,,,True,True
B80597220,A98012136,Amazon Essentials Detail Y593,Electronics,Smart Home,Amazon Essentials,880.81,880.81,4.3,3551,608,True,False,False,False,,,24.0,False,,
B69806526,A68220553,Thompson-Norton Keep D860,Home & Kitchen,Bedding,Thompson-Norton,62.56,56.3,3.9,5747,875,True,False,False,True,,,,,,
B39273338,A68318547,Amazon Essentials Say W229,Amazon Basics,Electronics,Amazon Essentials,19.3,19.3,3.7,3001,910,True,False,True,True,,,,,,
B86785995,A46857486,Amazon Basics Hospital T441,Electronics,Smart Home,Amazon Basics,152.09,136.88,3.9,8322,840,False,False,False,True,,,36.0,False,,
B93405454,A83357114,Amazon Basics Trouble Y403,Amazon Basics,Fitness,Amazon Basics,96.27,96.27,4.6,7907,989,True,False,False,True,,,,,,
