user_id,age,gender,location,is_prime_member,prime_membership_years,amazon_household,has_amazon_credit_card,preferred_categories,account_creation_date,prime_benefits_used,average_annual_spend,has_alexa_device,has_kindle,subscribe_and_save
abc0cb5a-c009-45e8-a83b-c9f9cff17f4c,22,M,Wyattstad,True,8,False,False,"['Prime Video', 'Electronics', 'Amazon Basics', 'Fashion']",2022-12-22,"['Amazon Fresh', 'Prime Video', 'Prime Music', 'Free Two-Day Shipping', 'Prime Reading']",915,False,False,False
5402d8e3-c3d2-4635-8874-008a32321908,39,M,Taylorborough,True,1,False,False,"['Amazon Basics', 'Prime Video', 'Electronics']",2023-03-19,"['Prime Video', 'Free Two-Day Shipping', 'Prime Reading']",1776,False,False,False
204a8873-476a-467c-b9f5-fda9d44e9aed,60,Other,Hillhaven,True,6,True,False,"['Amazon Basics', 'Electronics']",2021-12-14,"['Prime Reading', 'Prime Gaming', 'Prime Video', 'Prime Music', 'Amazon Fresh']",857,False,False,False
3c903922-e58d-4ba0-a5a0-25c5f7f3c30d,19,M,Garyside,False,0,False,False,"['Fashion', 'Books & Kindle']",2019-02-18,[],3033,False,False,False
0f05f210-1d31-4a89-93d6-43c8d0630b6d,25,Other,Lake Dustin,True,1,False,True,"['Home & Kitchen', 'Fashion']",2018-07-05,"['Prime Video', 'Prime Gaming']",1191,False,True,True
8fa0e51b-7d82-45da-9317-bd529c11280c,41,M,North Katie,True,7,False,True,"['Amazon Basics', 'Electronics', 'Amazon Fresh']",2021-02-09,"['Prime Gaming', 'Amazon Fresh', 'Prime Video', 'Prime Reading', 'Prime Music']",1067,False,False,False
3f0675f1-06a4-4f72-8a88-ce13ac5cfac6,64,F,North Stephenfurt,True,4,True,False,"['Fashion', 'Prime Video']",2022-11-27,"['Amazon Fresh', 'Free Two-Day Shipping', 'Prime Video', 'Prime Reading', 'Prime Music']",731,True,False,False
98111b37-d914-4e0f-8aa3-1fcd6f716272,65,M,Lake Brandon,True,1,False,False,"['Home & Kitchen', 'Prime Video']",2022-09-22,"['Prime Reading', 'Prime Music', 'Free Two-Day Shipping', 'Amazon Fresh']",2958,True,False,True
1031d7fe-aaa2-4be1-bf46-580301b94846,69,F,Riceville,True,8,False,False,"['Amazon Basics', 'Electronics', 'Prime Video']",2018-07-15,"['Prime Reading', 'Amazon Fresh', 'Prime Music']",4156,True,True,True
aa2775fb-ec44-4620-92ce-2fcf29b276db,51,M,Lake Dwayne,True,7,True,False,"['Books & Kindle', 'Prime Video']",2023-01-27,"['Prime Reading', 'Prime Music']",868,True,False,False
725c36bc-571a-44a8-9ca4-ff179d3da715,60,Other,Scottland,False,0,False,False,"['Amazon Fresh', 'Prime Video']",2022-11-16,[],2954,True,False,False
